Total Discharges,DRG Definition,Average Total Payments
"1,022",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,11265.01
"1,028",885 - PSYCHOSES,7721.3
"1,031",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,15631.4
"1,032",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,12134.88
"1,050",885 - PSYCHOSES,9056.66
"1,113",885 - PSYCHOSES,7109.27
"1,116",885 - PSYCHOSES,7521.3
"1,124",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,16836.21
"1,173",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,15141.26
"1,186",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,13852.83
"1,264",885 - PSYCHOSES,7258.84
"1,328",885 - PSYCHOSES,6736.67
"1,344","392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",4727.96
"1,464",470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,13934.44
"1,487",885 - PSYCHOSES,8165.69
"1,571",897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,4967.56
"1,696",885 - PSYCHOSES,8192.84
100,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,6370.63
100,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,7146.53
100,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,59669.590000000004
100,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,49175.43
100,069 - TRANSIENT ISCHEMIA,4557.93
100,101 - SEIZURES W/O MCC,12699.98
100,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,38130.56
100,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,8890.81
100,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,32251.98
100,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,28668.39
100,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,67232.93
100,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,22845.32
100,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,75719.56
100,194 - SIMPLE PNEUMONIA & PLEURISY W CC,88493.97
100,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,4193.57
100,202 - BRONCHITIS & ASTHMA W CC/MCC,6747.08
100,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,62761.97
100,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,18525.36
100,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,36911.369999999995
100,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,54605.59
100,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",12296.22
100,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",25807.9
100,291 - HEART FAILURE & SHOCK W MCC,124871.05
100,292 - HEART FAILURE & SHOCK W CC,92741.36
100,293 - HEART FAILURE & SHOCK W/O CC/MCC,15785.39
100,300 - PERIPHERAL VASCULAR DISORDERS W CC,12000.36
100,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,16051.4
100,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,47340.67
100,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,23753.7
100,312 - SYNCOPE & COLLAPSE,18702.739999999998
100,313 - CHEST PAIN,41947.59
100,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,26626.699999999997
100,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,22468.17
100,378 - G.I. HEMORRHAGE W CC,56778.78
100,390 - G.I. OBSTRUCTION W/O CC/MCC,4970.21
100,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",54865.240000000005
100,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,141332.03
100,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,151395.86
100,473 - CERVICAL SPINAL FUSION W/O CC/MCC,22625.66
100,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,31688.83
100,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,8566.82
100,552 - MEDICAL BACK PROBLEMS W/O MCC,8489.08
100,603 - CELLULITIS W/O MCC,39951.75
100,638 - DIABETES W CC,7847.9
100,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",6741.35
100,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",26371.71
100,682 - RENAL FAILURE W MCC,41294.32
100,683 - RENAL FAILURE W CC,41331.81
100,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,18356.07
100,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,44359.97
100,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,12416.61
100,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,10251.54
100,812 - RED BLOOD CELL DISORDERS W/O MCC,12459.720000000001
100,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,135278.58
100,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,50439.98
100,885 - PSYCHOSES,5782.56
101,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,54623.240000000005
101,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,70395.86
101,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,16847.34
101,069 - TRANSIENT ISCHEMIA,11037.84
101,101 - SEIZURES W/O MCC,14693.43
101,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,11695.08
